name,type,size_mb,rows,owner,active_owner,evidence_source,initial_classification,notes
ab12CD34_commentmeta,InnoDB,0.05,14,wordpress-core,yes,information_schema + plugin list,KEEP,
ab12CD34_gla_shipping_rates,InnoDB,0.05,0,unknown,no,information_schema + plugin list,BLOCKED,Owner not identified
ab12CD34_mailerlite_checkouts,InnoDB,0.05,31,unknown,no,information_schema + plugin list,BLOCKED,Owner not identified
ab12CD34_mclean_scan,InnoDB,0.05,0,unknown,no,information_schema + plugin list,BLOCKED,Owner not identified
ab12CD34_rank_math_redirections,InnoDB,0.05,23,seo-by-rank-math,yes,information_schema + plugin list,KEEP,
ab12CD34_revslider_sliders,InnoDB,0.05,2,revslider,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin revslider is inactive
ab12CD34_smush_dir_images,InnoDB,0.05,0,wp-smushit,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wp-smushit is inactive
ab12CD34_snippets,InnoDB,0.05,5,code-snippets,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin code-snippets is inactive
ab12CD34_wc_download_log,InnoDB,0.05,0,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_wc_order_coupon_lookup,InnoDB,0.05,67,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_wc_order_tax_lookup,InnoDB,0.05,0,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_wfconfig,InnoDB,0.05,227,wordfence,no,information_schema + plugin list,BLOCKED,Plugin wordfence is inactive
ab12CD34_woocommerce_api_keys,InnoDB,0.05,0,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_woocommerce_p24_data,InnoDB,0.05,18,imoje,yes,information_schema + plugin list,KEEP,
ab12CD34_woocommerce_payment_tokenmeta,InnoDB,0.05,0,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_woocommerce_sessions,InnoDB,0.05,2,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_woocommerce_tax_rate_locations,InnoDB,0.05,0,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_wpmailsmtp_emails_queue,InnoDB,0.05,0,wp-mail-smtp,no,information_schema + plugin list,BLOCKED,Plugin wp-mail-smtp is inactive
ab12CD34_yith_wcwl_lists,InnoDB,0.05,16,yith-woocommerce-wishlist,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin yith-woocommerce-wishlist is inactive
wp_commentmeta,InnoDB,0.05,0,wordpress-core-dup,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wordpress-core-dup is inactive
wp_postmeta,InnoDB,0.05,2,wordpress-core-dup,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wordpress-core-dup is inactive
wp_term_taxonomy,InnoDB,0.05,0,wordpress-core-dup,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wordpress-core-dup is inactive
wp_termmeta,InnoDB,0.05,0,wordpress-core-dup,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wordpress-core-dup is inactive
wp_terms,InnoDB,0.05,0,wordpress-core-dup,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wordpress-core-dup is inactive
wp_usermeta,InnoDB,0.05,18,wordpress-core-dup,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wordpress-core-dup is inactive
ab12CD34_actionscheduler_claims,InnoDB,0.03,0,woocommerce/action-scheduler,yes,information_schema + plugin list,KEEP,
ab12CD34_actionscheduler_groups,InnoDB,0.03,23,woocommerce/action-scheduler,yes,information_schema + plugin list,KEEP,
ab12CD34_cky_cookie_categories,InnoDB,0.03,5,unknown,no,information_schema + plugin list,BLOCKED,Owner not identified
ab12CD34_compressx_files_opt_meta,InnoDB,0.03,0,compressx,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin compressx is inactive
ab12CD34_e_events,InnoDB,0.03,0,elementor,no,information_schema + plugin list,REVIEW,Plugin elementor is inactive
ab12CD34_ewwwio_queue,InnoDB,0.03,0,ewww-image-optimizer,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin ewww-image-optimizer is inactive
ab12CD34_gla_shipping_times,InnoDB,0.03,0,google-listings-and-ads,no,information_schema + plugin list,REVIEW,Plugin google-listings-and-ads is inactive
ab12CD34_links,InnoDB,0.03,0,wordpress-core,yes,information_schema + plugin list,KEEP,
ab12CD34_mwai_files,InnoDB,0.03,0,ai-engine,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin ai-engine is inactive
ab12CD34_mwai_tasklogs,InnoDB,0.03,0,ai-engine,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin ai-engine is inactive
ab12CD34_rank_math_404_logs,InnoDB,0.03,12,seo-by-rank-math,yes,information_schema + plugin list,KEEP,
ab12CD34_rank_math_redirections_cache,InnoDB,0.03,32,seo-by-rank-math,yes,information_schema + plugin list,KEEP,
ab12CD34_user_registration_sessions,InnoDB,0.03,2,user-registration,no,information_schema + plugin list,REVIEW,Plugin user-registration is inactive
ab12CD34_wc_product_download_directories,InnoDB,0.03,2,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_wc_rate_limits,InnoDB,0.03,0,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_wc_tax_rate_classes,InnoDB,0.03,4,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_wc_webhooks,InnoDB,0.03,0,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_wf_sn_tests,InnoDB,0.03,53,wordfence,no,information_schema + plugin list,BLOCKED,Plugin wordfence is inactive
ab12CD34_wflivetraffichuman,InnoDB,0.03,0,wordfence,no,information_schema + plugin list,BLOCKED,Plugin wordfence is inactive
ab12CD34_wfls_2fa_secrets,InnoDB,0.03,0,wordfence,no,information_schema + plugin list,BLOCKED,Plugin wordfence is inactive
ab12CD34_woocommerce_attribute_taxonomies,InnoDB,0.03,39,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_woocommerce_log,InnoDB,0.03,0,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_woocommerce_payment_tokens,InnoDB,0.03,0,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_woof_front_builder,InnoDB,0.03,0,woof-woocommerce-products-filter,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin woof-woocommerce-products-filter is inactive
ab12CD34_wpaicg_token_logs,InnoDB,0.03,0,ai-engine,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin ai-engine is inactive
ab12CD34_yith_wcwl,InnoDB,0.03,51,yith-woocommerce-wishlist,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin yith-woocommerce-wishlist is inactive
ab12CD34_yoast_migrations,InnoDB,0.03,24,wordpress-seo,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wordpress-seo is inactive
wp_links,InnoDB,0.03,0,wordpress-core-dup,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wordpress-core-dup is inactive
wp_term_relationships,InnoDB,0.03,0,wordpress-core-dup,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wordpress-core-dup is inactive
